frame,time_s,status,det_found,det_conf,det_cx,det_cy,det_area,det_x1,det_y1,det_x2,det_y2,trk_ok,trk_cx,trk_cy,trk_x1,trk_y1,trk_x2,trk_y2,iou,det_ms,sharpness,brightness
91,3.044,AGREE,1,0.9551,1020.58,691.96,107697.2,854.44,529.9,1186.71,854.02,1,1018.5,693.5,847.0,527.0,1190.0,860.0,0.9429,21.25,98.31,155.31
92,3.078,AGREE,1,0.9545,1020.69,691.98,107862.8,854.43,529.79,1186.94,854.18,1,1018.5,693.5,847.0,527.0,1190.0,860.0,0.9444,16.69,99.24,155.33
93,3.111,AGREE,1,0.9554,1020.74,691.91,107891.0,854.5,529.66,1186.98,854.16,1,1018.5,693.5,847.0,527.0,1190.0,860.0,0.9446,17.51,106.29,155.32
94,3.145,AGREE,1,0.9571,1021.15,691.79,107784.8,855.09,529.52,1187.21,854.06,1,1019.5,693.5,848.0,527.0,1191.0,860.0,0.9437,21.49,110.47,155.34
95,3.178,AGREE,1,0.9561,1021.17,691.92,107614.8,855.23,529.79,1187.1,854.05,1,1019.5,693.5,848.0,527.0,1191.0,860.0,0.9422,21.29,111.36,155.31
96,3.212,AGREE,1,0.9576,1021.16,691.87,107642.9,855.16,529.76,1187.16,853.98,1,1019.5,693.5,848.0,527.0,1191.0,860.0,0.9424,24.38,102.17,155.34
97,3.245,AGREE,1,0.9597,1021.3,691.87,107475.6,855.48,529.84,1187.12,853.91,1,1019.5,693.5,848.0,527.0,1191.0,860.0,0.941,21.52,105.69,155.34
98,3.279,AGREE,1,0.9581,1021.42,692.22,107209.0,855.66,530.52,1187.17,853.91,1,1019.5,693.5,848.0,527.0,1191.0,860.0,0.9386,21.32,104.4,155.31
99,3.312,AGREE,1,0.9566,1021.58,692.36,107237.1,855.8,530.64,1187.35,854.08,1,1019.5,693.5,848.0,527.0,1191.0,860.0,0.9389,21.34,103.5,155.3
100,3.346,AGREE,1,0.9585,1021.6,692.41,107092.1,856.05,530.69,1187.15,854.14,1,1020.5,694.5,849.0,528.0,1192.0,861.0,0.9376,21.46,104.84,155.31
101,3.379,AGREE,1,0.9564,1021.49,692.43,107202.4,855.61,530.87,1187.38,853.99,1,1019.5,693.5,848.0,527.0,1191.0,860.0,0.9386,21.5,105.05,155.3
102,3.412,AGREE,1,0.957,1021.62,692.41,107007.5,856.04,530.84,1187.2,853.97,1,1020.5,693.5,849.0,527.0,1192.0,860.0,0.9369,24.46,108.31,155.28
103,3.446,AGREE,1,0.9585,1021.85,692.42,106915.4,856.4,530.87,1187.3,853.97,1,1020.5,693.5,849.0,527.0,1192.0,860.0,0.9361,25.05,106.49,155.29
104,3.479,AGREE,1,0.9583,1021.75,692.47,106966.6,856.26,530.87,1187.23,854.07,1,1020.5,693.5,849.0,527.0,1192.0,860.0,0.9365,16.99,107.94,155.31
105,3.513,AGREE,1,0.9577,1021.67,692.4,107056.1,856.08,530.77,1187.26,854.03,1,1019.5,694.5,848.0,528.0,1191.0,861.0,0.9373,18.83,100.8,155.32
106,3.546,AGREE,1,0.9588,1021.96,692.06,106998.7,856.54,530.35,1187.37,853.77,1,1020.5,694.5,849.0,528.0,1192.0,861.0,0.9368,23.44,104.2,155.37
107,3.58,AGREE,1,0.9598,1022.14,691.88,107063.2,856.74,530.05,1187.54,853.71,1,1020.5,694.5,849.0,528.0,1192.0,861.0,0.9374,23.38,98.95,155.4
108,3.613,AGREE,1,0.9612,1022.46,690.93,106851.4,857.45,529.06,1187.48,852.81,1,1020.5,693.5,849.0,527.0,1192.0,860.0,0.9355,23.54,95.42,155.41
109,3.647,AGREE,1,0.9609,1022.6,690.76,106723.5,857.75,528.91,1187.45,852.61,1,1021.5,693.5,850.0,527.0,1193.0,860.0,0.9344,24.06,105.98,155.41
110,3.68,AGREE,1,0.9605,1022.65,690.95,106847.1,857.81,528.9,1187.49,853.0,1,1021.5,693.5,850.0,527.0,1193.0,860.0,0.9355,18.91,108.39,155.4
111,3.714,AGREE,1,0.9605,1022.65,691.17,106933.3,857.83,528.98,1187.48,853.36,1,1021.5,693.5,850.0,527.0,1193.0,860.0,0.9362,18.24,109.62,155.38
112,3.747,AGREE,1,0.96,1022.65,691.13,106814.6,857.72,529.22,1187.58,853.04,1,1021.5,693.5,850.0,527.0,1193.0,860.0,0.9352,23.64,100.34,155.38
113,3.78,AGREE,1,0.9599,1022.75,691.2,106649.1,857.75,529.61,1187.75,852.79,1,1021.5,692.5,850.0,526.0,1193.0,859.0,0.9337,21.85,103.6,155.37
114,3.814,AGREE,1,0.9611,1022.92,691.1,106709.3,858.01,529.33,1187.83,852.87,1,1021.5,693.5,850.0,527.0,1193.0,860.0,0.9343,21.88,108.05,155.35
115,3.847,AGREE,1,0.9615,1022.95,691.1,106776.4,858.06,529.2,1187.83,852.99,1,1021.5,693.5,850.0,527.0,1193.0,860.0,0.9348,16.29,111.59,155.35
116,3.881,AGREE,1,0.9607,1023.03,691.01,106841.3,858.13,529.03,1187.94,852.98,1,1021.5,693.5,850.0,527.0,1193.0,860.0,0.9354,16.71,112.98,155.38
117,3.914,AGREE,1,0.9619,1023.05,690.57,106685.5,858.16,528.83,1187.95,852.32,1,1021.5,693.5,850.0,527.0,1193.0,860.0,0.934,23.51,112.81,155.39
118,3.948,AGREE,1,0.962,1023.59,690.46,106568.2,858.75,528.84,1188.44,852.07,1,1022.5,693.5,851.0,527.0,1194.0,860.0,0.933,16.31,108.69,155.41
119,3.981,AGREE,1,0.9608,1023.55,690.25,106548.0,858.67,528.69,1188.43,851.8,1,1022.5,693.5,851.0,527.0,1194.0,860.0,0.9328,21.29,103.95,155.44
120,4.015,AGREE,1,0.9616,1023.44,690.16,106620.2,858.63,528.43,1188.24,851.89,1,1022.5,692.5,851.0,526.0,1194.0,859.0,0.9335,17.08,101.59,155.47
121,4.048,AGREE,1,0.9618,1023.71,690.22,106805.1,858.71,528.4,1188.71,852.05,1,1022.5,693.5,851.0,527.0,1194.0,860.0,0.9351,16.29,97.16,155.49
