frame,time_s,status,det_found,det_conf,det_cx,det_cy,det_area,det_x1,det_y1,det_x2,det_y2,trk_ok,trk_cx,trk_cy,trk_x1,trk_y1,trk_x2,trk_y2,iou,det_ms,sharpness,brightness
96,3.199,AGREE,1,0.9374,1115.97,637.02,101916.0,954.3,479.42,1277.63,794.62,1,1115.5,640.0,959.0,488.0,1272.0,792.0,0.9336,25.09,53.24,59.16
97,3.232,AGREE,1,0.9418,1111.86,631.4,100103.5,951.55,475.29,1272.17,787.51,1,1113.5,635.0,954.0,480.0,1273.0,790.0,0.9673,24.88,46.96,59.4
98,3.266,AGREE,1,0.9427,1108.8,625.89,98255.4,948.74,472.42,1268.85,779.36,1,1111.0,629.0,948.0,471.0,1274.0,787.0,0.9538,16.83,47.9,59.53
99,3.299,AGREE,1,0.947,1108.2,624.47,98351.9,947.78,471.2,1268.62,777.74,1,1110.0,626.0,947.0,468.0,1273.0,784.0,0.9547,24.26,51.69,59.52
100,3.332,AGREE,1,0.9456,1109.68,625.14,98305.6,949.71,471.5,1269.64,778.78,1,1109.5,627.0,950.0,472.0,1269.0,782.0,0.9852,24.73,48.37,59.33
101,3.366,AGREE,1,0.9432,1110.63,627.88,97894.8,951.59,473.99,1269.68,781.76,1,1112.5,629.0,956.0,477.0,1269.0,781.0,0.972,17.29,44.59,59.16
102,3.399,AGREE,1,0.9445,1110.57,628.2,97464.5,952.1,474.44,1269.04,781.96,1,1111.5,630.0,955.0,478.0,1268.0,782.0,0.976,23.52,44.14,59.16
103,3.432,AGREE,1,0.948,1112.25,628.38,96953.9,954.23,474.99,1270.27,781.77,1,1112.5,630.0,956.0,478.0,1269.0,782.0,0.9799,23.61,46.27,59.33
104,3.466,AGREE,1,0.9509,1112.76,625.63,97046.3,953.81,473.0,1271.71,778.27,1,1113.5,628.0,957.0,476.0,1270.0,780.0,0.9695,17.8,34.35,59.44
105,3.499,AGREE,1,0.9564,1113.72,623.78,96877.7,954.87,471.31,1272.57,776.25,1,1114.5,626.0,958.0,474.0,1271.0,778.0,0.971,18.27,41.74,58.57
106,3.532,AGREE,1,0.9555,1114.8,624.46,97689.3,955.88,470.78,1273.72,778.14,1,1115.5,626.0,959.0,474.0,1272.0,778.0,0.974,22.07,46.86,57.7
107,3.566,AGREE,1,0.9579,1116.23,625.45,98240.0,956.59,471.6,1275.87,779.29,1,1117.5,627.0,961.0,475.0,1274.0,779.0,0.9686,22.04,50.6,56.61
108,3.599,AGREE,1,0.958,1117.02,626.83,98755.0,956.83,472.71,1277.21,780.96,1,1119.5,627.0,966.0,478.0,1273.0,776.0,0.9264,17.63,54.65,55.41
109,3.632,AGREE,1,0.9598,1118.7,627.54,98243.8,959.1,473.65,1278.31,781.43,1,1119.5,628.0,966.0,479.0,1273.0,777.0,0.9312,18.74,54.92,54.64
110,3.666,AGREE,1,0.9597,1119.16,627.93,98732.1,959.22,473.61,1279.1,782.26,1,1121.5,628.0,971.0,482.0,1272.0,774.0,0.8902,17.87,56.2,54.57
